canonical_position,column_name,in_canonical_46,pandas_dtype,row_count,null_count,null_pct,non_null_count,nunique_non_null,nunique_how,kmeans_feature_role
1,Procuring Entity (PE),True,object,369554,0,0.0,369554,,N/A (see EDA charts in this quarter folder),high_cardinality_text
2,Region,True,object,369554,0,0.0,369554,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
3,Province,True,object,369554,0,0.0,369554,,N/A (see EDA charts in this quarter folder),high_cardinality_text
4,City/Municipality,True,object,369554,0,0.0,369554,,N/A (see EDA charts in this quarter folder),high_cardinality_text
5,Government Branch,True,object,369554,0,0.0,369554,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
6,PE Organization Type,True,object,369554,0,0.0,369554,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
7,PE Organization Type (Grouped),True,object,369554,0,0.0,369554,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
8,Bid Reference No.,True,int64,369554,0,0.0,369554,,N/A (see EDA charts in this quarter folder),identifier_skip
9,Notice Title,True,object,369554,0,0.0,369554,,N/A (see EDA charts in this quarter folder),high_cardinality_text
10,Classification,True,object,369554,0,0.0,369554,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
11,Procurement Mode,True,object,369554,0,0.0,369554,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
12,Business Category,True,object,369554,0,0.0,369554,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
13,Funding Source,True,object,369554,0,0.0,369554,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
14,Funding Instrument,True,object,369554,0,0.0,369554,,N/A (see EDA charts in this quarter folder),high_cardinality_text
15,Trade Agreement,True,object,369554,0,0.0,369554,,N/A (see EDA charts in this quarter folder),high_cardinality_text
16,Approved Budget of the Contract,True,float64,369554,0,0.0,369554,,N/A (see EDA charts in this quarter folder),numeric_ready
17,Published Date,True,object,369554,5012,1.3562,364542,,N/A (see EDA charts in this quarter folder),date_derivable
18,Closing Date,True,object,369554,10564,2.8586,358990,,N/A (see EDA charts in this quarter folder),date_derivable
19,Area of Delivery,True,object,369554,28125,7.6105,341429,,N/A (see EDA charts in this quarter folder),high_cardinality_text
20,Contract Duration,True,float64,369554,1647,0.4457,367907,,N/A (see EDA charts in this quarter folder),other_review
21,Calendar Type,True,object,369554,10564,2.8586,358990,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
22,Line Item No,True,float64,369554,100640,27.2328,268914,,N/A (see EDA charts in this quarter folder),numeric_ready
23,Item Name,True,object,369554,100640,27.2328,268914,,N/A (see EDA charts in this quarter folder),high_cardinality_text
24,Item Description,True,object,369554,100773,27.2688,268781,,N/A (see EDA charts in this quarter folder),high_cardinality_text
25,Quantity,True,float64,369554,100640,27.2328,268914,,N/A (see EDA charts in this quarter folder),numeric_ready
26,UOM,True,object,369554,100640,27.2328,268914,,N/A (see EDA charts in this quarter folder),high_cardinality_text
27,Item Budget,True,float64,369554,100640,27.2328,268914,,N/A (see EDA charts in this quarter folder),numeric_ready
28,Bid Notice Status,True,object,369554,0,0.0,369554,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
29,Award Reference No.,True,float64,369554,195828,52.9904,173726,,N/A (see EDA charts in this quarter folder),identifier_skip
30,Award Title,True,object,369554,195828,52.9904,173726,,N/A (see EDA charts in this quarter folder),high_cardinality_text
31,UNSPSC Code,True,float64,369554,196365,53.1357,173189,,N/A (see EDA charts in this quarter folder),identifier_skip
32,UNSPSC Description,True,object,369554,196365,53.1357,173189,,N/A (see EDA charts in this quarter folder),high_cardinality_text
33,Published Date(Award),True,object,369554,195828,52.9904,173726,,N/A (see EDA charts in this quarter folder),date_derivable
34,Award Date,True,object,369554,195828,52.9904,173726,,N/A (see EDA charts in this quarter folder),date_derivable
35,Contract Amount,True,float64,369554,196048,53.0499,173506,,N/A (see EDA charts in this quarter folder),numeric_ready
36,Award Notice Status,True,object,369554,195828,52.9904,173726,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
37,Notice to Proceed Date,True,object,369554,237300,64.2125,132254,,N/A (see EDA charts in this quarter folder),date_derivable
38,Contract Effectivity Date,True,object,369554,237300,64.2125,132254,,N/A (see EDA charts in this quarter folder),date_derivable
39,Contract End Date,True,object,369554,237300,64.2125,132254,,N/A (see EDA charts in this quarter folder),date_derivable
40,Awardee Organization Name,True,object,369554,195828,52.9904,173726,,N/A (see EDA charts in this quarter folder),high_cardinality_text
41,Country of Awardee,True,object,369554,195828,52.9904,173726,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
42,Region of Awardee,True,object,369554,196042,53.0483,173512,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
43,Province of Awardee,True,object,369554,195983,53.0323,173571,,N/A (see EDA charts in this quarter folder),high_cardinality_text
44,City/Municipality of Awardee,True,object,369554,195931,53.0182,173623,,N/A (see EDA charts in this quarter folder),high_cardinality_text
45,Awardee Size,True,object,369554,201710,54.582,167844,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
46,Awardee Joint Venture,True,object,369554,364107,98.5261,5447,,N/A (see EDA charts in this quarter folder),low_cardinality_encodable
