PhilGEPS step 02 — Min-Max summary (n=487,605, scaled_columns=19)
                               column  pre_min       pre_max     pre_mean      pre_std    clip_low     clip_high  post_min  post_max  post_mean  post_std
                                 Year   2020.0   2025.000000  2022.991473     1.381506 2020.000000   2025.000000       0.0       1.0   0.598295  0.276301
log1p_Approved_Budget_of_the_Contract      0.0     22.540350    13.902036     2.244949    9.798183     19.262259       0.0       1.0   0.434213  0.233531
                    log1p_Item_Budget      0.0     21.917188    11.086884     3.172670    0.000000     16.799250       0.0       1.0   0.659482  0.187872
                log1p_Contract_Amount      0.0     21.917158    11.617967     2.212155    4.927398     16.587599       0.0       1.0   0.575112  0.179803
                       log1p_Quantity      0.0     20.723266     2.833008     2.730517    0.693147     10.596660       0.0       1.0   0.214867  0.271729
               contract_duration_days      0.0 738030.000000    26.117923  1059.517017    0.000000    270.000000       0.0       1.0   0.084506  0.135545
                             pub_year   2020.0   2025.000000  2023.263154     1.245209 2020.000000   2025.000000       0.0       1.0   0.652631  0.249042
                            pub_month      1.0     12.000000     7.213398     3.253191    1.000000     12.000000       0.0       1.0   0.564854  0.295745
                              pub_dow      0.0      6.000000     2.519925     1.523432    0.000000      6.000000       0.0       1.0   0.419987  0.253905
                       pub_epoch_days   7308.0   9404.000000  8700.947431   451.121261 7430.449764   9357.000000       0.0       1.0   0.659560  0.233347
                   time_to_close_days    -30.0   1779.954452    34.659194   158.110973  -30.000000    864.960000       0.0       1.0   0.065800  0.117912
                     prebid_lead_days    -30.0    335.583333   -28.635788    12.473838  -30.000000      8.562500       0.0       1.0   0.018416  0.128572
               award_publish_lag_days    -30.0   1331.559595    94.091184   150.239176  -30.000000    923.000000       0.0       1.0   0.129554  0.153768
              award_decision_lag_days    -30.0   1831.000000   121.901324   284.495756  -30.000000   1640.458333       0.0       1.0   0.090508  0.167940
                         ntp_lag_days    -30.0   2535.000000    82.481360   254.917431  -30.000000   1604.000000       0.0       1.0   0.068340  0.152879
                 contract_length_days    -30.0   3650.000000  1572.607406   499.304867    1.000000   2028.000000       0.0       1.0   0.774967  0.245384
        contract_effectivity_lag_days    -30.0   1726.000000   -26.684211    22.735382  -30.000000     81.000000       0.0       1.0   0.022610  0.128475
               City_Municipality_freq      1.0  71265.000000 15493.338704 23931.024708   27.000000  71265.000000       0.0       1.0   0.217109  0.335930
    City_Municipality_of_Awardee_freq      1.0 180936.000000 72940.394227 83386.356715   28.000000 180936.000000       0.0       1.0   0.403037  0.460932
